Exposure,Outcome,warning
Diagnoses - secondary ICD10: C67.4 Posterior wall of bladder || id:UKB-b:3374,Chang et al. 2017,lowcase
"Diagnoses - main ICD10: H90.0 Conductive hearing loss,bilateral || id:UKB-b:3375",Nalls et al. 2019 (clinically diagnosed cases),lowcase
"Diagnoses - main ICD10: H90.0 Conductive hearing loss, bilateral || id:UKB-b:3375",Chang et al. 2017,lowcase
Number of measurements made || id:UKB-b:3376,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Diagnoses - secondary ICD10: H02.8 Other specified disorders of eyelid || id:UKB-b:3377,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Diagnoses - secondary ICD10: H02.8 Other specified disorders of eyelid || id:UKB-b:3377,Chang et al. 2017,snp+lowcase
Diagnoses - secondary ICD10: Y42.7 Androgens and anabolic congeners || id:UKB-b:3378,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Diagnoses - main ICD10: R54 Senility || id:UKB-b:3379,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Diagnoses - main ICD10: R54 Senility || id:UKB-b:3379,Chang et al. 2017,snp+lowcase
Operative procedures - main OPCS: T86.2 Sampling of axillary lymph nodes || id:UKB-b:3382,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Operative procedures - main OPCS: T86.2 Sampling of axillary lymph nodes || id:UKB-b:3382,Chang et al. 2017,snp+lowcase
Diagnoses - main ICD10: D36.1 Peripheral nerves and autonomic nervous system || id:UKB-b:3384,Nalls et al. 2019 (clinically diagnosed cases),snp
Diagnoses - main ICD10: D36.1 Peripheral nerves and autonomic nervous system || id:UKB-b:3384,Chang et al. 2017,snp
Diagnoses - main ICD10: S82.3 Fracture of lower end of tibia || id:UKB-b:3385,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD10: S82.3 Fracture of lower end of tibia || id:UKB-b:3385,Chang et al. 2017,snp+lowcase
3mm weak meridian angle (right) || id:UKB-b:3386,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
3mm weak meridian angle (right) || id:UKB-b:3386,Chang et al. 2017,snp+lowcase
External causes: Y60.0 During surgical operation || id:UKB-b:3387,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
External causes: Y60.0 During surgical operation || id:UKB-b:3387,Chang et al. 2017,snp+lowcase
Operation code: ear surgery || id:UKB-b:3388,Nalls et al. 2019 (clinically diagnosed cases),snp
Operation code: ear surgery || id:UKB-b:3388,Chang et al. 2017,snp
Ingredients in homemade soup: Fish || id:UKB-b:339,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Ingredients in homemade soup: Fish || id:UKB-b:339,Chang et al. 2017,lowcase
Operative procedures - main OPCS: L70.3 Ligation of artery NEC || id:UKB-b:3390,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - main OPCS: L70.3 Ligation of artery NEC || id:UKB-b:3390,Chang et al. 2017,lowcase
Operative procedures - main OPCS: Q11.6 Vacuum aspiration of products of conception from uterus using flexible cannula || id:UKB-b:3391,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - main OPCS: Q11.6 Vacuum aspiration of products of conception from uterus using flexible cannula || id:UKB-b:3391,Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: D12.2 Atticotomy || id:UKB-b:3392,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - secondary OPCS: D12.2 Atticotomy || id:UKB-b:3392,Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: H19.1 Open biopsy of lesion of colon || id:UKB-b:3393,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - secondary OPCS: H19.1 Open biopsy of lesion of colon || id:UKB-b:3393,Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: Y18.9 Unspecified release of organ NOC || id:UKB-b:3394,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Operative procedures - secondary OPCS: Y18.9 Unspecified release of organ NOC || id:UKB-b:3394,Chang et al. 2017,snp+lowcase
Operative procedures - main OPCS: P05.8 Other specified excision of vulva || id:UKB-b:3395,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - main OPCS: P05.8 Other specified excision of vulva || id:UKB-b:3395,Chang et al. 2017,lowcase
Operative procedures - main OPCS: V17.4 Removal of fixation from mandible || id:UKB-b:3396,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - main OPCS: V17.4 Removal of fixation from mandible || id:UKB-b:3396,Chang et al. 2017,lowcase
"Diagnoses - secondary ICD10: I35.9 Aortic valve disorder,unspecified || id:UKB-b:3398",Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
"Diagnoses - secondary ICD10: I35.9 Aortic valve disorder, unspecified || id:UKB-b:3398",Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: G94.2 Hydrocephalus in other diseases classified elsewhere || id:UKB-b:3399,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD10: G94.2 Hydrocephalus in other diseases classified elsewhere || id:UKB-b:3399,Chang et al. 2017,lowcase
Diagnoses - main ICD10: N50.1 Vascular disorders of male genital organs || id:UKB-b:34,Nalls et al. 2019 (clinically diagnosed cases),snp
Diagnoses - main ICD10: N50.1 Vascular disorders of male genital organs || id:UKB-b:34,Chang et al. 2017,snp
Operative procedures - main OPCS: G29.2 Open excision of lesion of stomach NEC || id:UKB-b:340,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - main OPCS: G29.2 Open excision of lesion of stomach NEC || id:UKB-b:340,Chang et al. 2017,lowcase
Diagnoses - main ICD10: O35.1 Maternal care for (suspected) chromosomal abnormality in foetus || id:UKB-b:3400,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD10: O35.1 Maternal care for (suspected) chromosomal abnormality in foetus || id:UKB-b:3400,Chang et al. 2017,lowcase
Operative procedures - main OPCS: V07.2 Partial excision of bone of face NEC || id:UKB-b:3401,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - main OPCS: V07.2 Partial excision of bone of face NEC || id:UKB-b:3401,Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: M77.47 Metatarsalgia-Ankle/Foot || id:UKB-b:3403,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Diagnoses - secondary ICD10: M77.47 Metatarsalgia-Ankle/Foot || id:UKB-b:3403,Chang et al. 2017,snp+lowcase
Operative procedures - secondary OPCS: Z61.3 Axillary lymph node || id:UKB-b:3404,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Operative procedures - secondary OPCS: Z61.3 Axillary lymph node || id:UKB-b:3404,Chang et al. 2017,snp+lowcase
Diagnoses - secondary ICD10: S62.51 Fracture of thumb (open) || id:UKB-b:3405,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD10: S62.51 Fracture of thumb (open) || id:UKB-b:3405,Chang et al. 2017,lowcase
Operative procedures - main OPCS: A08.1 Biopsy of lesion of tissue of frontal lobe of brain NEC || id:UKB-b:3406,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - main OPCS: A08.1 Biopsy of lesion of tissue of frontal lobe of brain NEC || id:UKB-b:3406,Chang et al. 2017,lowcase
Treatment/medication code: cetraben cream || id:UKB-b:3407,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Treatment/medication code: cetraben cream || id:UKB-b:3407,Chang et al. 2017,lowcase
Diagnoses - main ICD10: F32.1 Moderate depressive episode || id:UKB-b:3409,Chang et al. 2017,snp+lowcase
Diagnoses - secondary ICD10: Z30.0 General counselling and advice on contraception || id:UKB-b:341,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD10: Z30.0 General counselling and advice on contraception || id:UKB-b:341,Chang et al. 2017,lowcase
Diagnoses - main ICD10: D03.3 Melanoma in situ of other and unspecified parts of face || id:UKB-b:3410,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Diagnoses - main ICD10: D03.3 Melanoma in situ of other and unspecified parts of face || id:UKB-b:3410,Chang et al. 2017,snp+lowcase
Diagnoses - main ICD10: S63.0 Dislocation of wrist || id:UKB-b:3411,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD10: S63.0 Dislocation of wrist || id:UKB-b:3411,Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: S02.60 Fracture of mandible (closed) || id:UKB-b:3414,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD10: S02.60 Fracture of mandible (closed) || id:UKB-b:3414,Chang et al. 2017,lowcase
Operative procedures - main OPCS: U19.1 Implantation of electrocardiography loop recorder || id:UKB-b:3415,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Operative procedures - main OPCS: U19.1 Implantation of electrocardiography loop recorder || id:UKB-b:3415,Chang et al. 2017,snp+lowcase
Operative procedures - secondary OPCS: W76.2 Excision of lesion of ligament || id:UKB-b:3416,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - secondary OPCS: W76.2 Excision of lesion of ligament || id:UKB-b:3416,Chang et al. 2017,lowcase
"Diagnoses - main ICD10: E27.9 Disorder of adrenal gland,unspecified || id:UKB-b:3418",Nalls et al. 2019 (clinically diagnosed cases),lowcase
"Diagnoses - main ICD10: E27.9 Disorder of adrenal gland, unspecified || id:UKB-b:3418",Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: N89.6 Tight hymenal ring || id:UKB-b:3419,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD10: N89.6 Tight hymenal ring || id:UKB-b:3419,Chang et al. 2017,lowcase
Operative procedures - main OPCS: V20.2 Prosthetic replacement of temporomandibular joint NEC || id:UKB-b:342,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - main OPCS: V20.2 Prosthetic replacement of temporomandibular joint NEC || id:UKB-b:342,Chang et al. 2017,lowcase
"Diagnoses - main ICD10: S02.9 Fracture of skull and facial bones,part unspecified || id:UKB-b:3421",Nalls et al. 2019 (clinically diagnosed cases),lowcase
"Diagnoses - main ICD10: S02.9 Fracture of skull and facial bones, part unspecified || id:UKB-b:3421",Chang et al. 2017,lowcase
Operation code: spine or back surgery || id:UKB-b:3422,Chang et al. 2017,snp
External causes: Y54.4 Loop [high-ceiling] diuretics || id:UKB-b:3423,Nalls et al. 2019 (clinically diagnosed cases),lowcase
External causes: Y54.4 Loop [high-ceiling] diuretics || id:UKB-b:3423,Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: W03.2 Osteotomy of multiple metatarsals || id:UKB-b:3424,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - secondary OPCS: W03.2 Osteotomy of multiple metatarsals || id:UKB-b:3424,Chang et al. 2017,lowcase
"Diagnoses - main ICD10: C71.9 Brain,unspecified || id:UKB-b:3425",Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
"Diagnoses - main ICD10: C71.9 Brain, unspecified || id:UKB-b:3425",Chang et al. 2017,snp+lowcase
Diagnoses - main ICD10: C81.0 Lymphocytic predominance || id:UKB-b:3426,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD10: C81.0 Lymphocytic predominance || id:UKB-b:3426,Chang et al. 2017,lowcase
Treatment/medication code: aranesp 10micrograms/0.4ml prefilled syringe || id:UKB-b:3429,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Treatment/medication code: aranesp 10micrograms/0.4ml prefilled syringe || id:UKB-b:3429,Chang et al. 2017,lowcase
Operative procedures - main OPCS: M51.1 Abdominoperineal suspension of urethra || id:UKB-b:343,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - main OPCS: M51.1 Abdominoperineal suspension of urethra || id:UKB-b:343,Chang et al. 2017,lowcase
Diagnoses - main ICD9: 78039 Convulsions (other and unspecified) || id:UKB-b:3430,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD9: 78039 Convulsions (other and unspecified) || id:UKB-b:3430,Chang et al. 2017,lowcase
Diagnoses - main ICD10: D26.0 Cervix uteri || id:UKB-b:3431,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Diagnoses - main ICD10: D26.0 Cervix uteri || id:UKB-b:3431,Chang et al. 2017,snp+lowcase
Main speciality of consultant (recoded): Medical microbiology || id:UKB-b:3432,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Main speciality of consultant (recoded): Medical microbiology || id:UKB-b:3432,Chang et al. 2017,lowcase
Operation code: colostomy reversal || id:UKB-b:3434,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Operation code: colostomy reversal || id:UKB-b:3434,Chang et al. 2017,snp+lowcase
Operative procedures - main OPCS: T12.1 Drainage of lesion of pleura NEC || id:UKB-b:3435,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - main OPCS: T12.1 Drainage of lesion of pleura NEC || id:UKB-b:3435,Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: N30.2 Other chronic cystitis || id:UKB-b:3436,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Diagnoses - secondary ICD10: N30.2 Other chronic cystitis || id:UKB-b:3436,Chang et al. 2017,snp+lowcase
"Diagnoses - secondary ICD10: S50.9 Superficial injury of forearm,unspecified || id:UKB-b:3437",Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
"Diagnoses - secondary ICD10: S50.9 Superficial injury of forearm, unspecified || id:UKB-b:3437",Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: K65.8 Other peritonitis || id:UKB-b:3438,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Diagnoses - secondary ICD10: K65.8 Other peritonitis || id:UKB-b:3438,Chang et al. 2017,lowcase
Operative procedures - main OPCS: V15.2 Open reduction of fracture of mandible NEC || id:UKB-b:3439,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Operative procedures - main OPCS: V15.2 Open reduction of fracture of mandible NEC || id:UKB-b:3439,Chang et al. 2017,snp+lowcase
Treatment/medication code: prednesol 5mg tablet || id:UKB-b:344,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Treatment/medication code: prednesol 5mg tablet || id:UKB-b:344,Chang et al. 2017,lowcase
Operative procedures - main OPCS: L29.5 Endarterectomy of carotid artery NEC || id:UKB-b:3440,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Operative procedures - main OPCS: L29.5 Endarterectomy of carotid artery NEC || id:UKB-b:3440,Chang et al. 2017,snp+lowcase
Treatment/medication code: docusate sodium || id:UKB-b:3441,Nalls et al. 2019 (clinically diagnosed cases),snp
Diagnoses - main ICD10: E06.1 Subacute thyroiditis || id:UKB-b:3442,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD10: E06.1 Subacute thyroiditis || id:UKB-b:3442,Chang et al. 2017,lowcase
"External causes: Y57.9 Drug or medicament,unspecified || id:UKB-b:3443",Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
"External causes: Y57.9 Drug or medicament, unspecified || id:UKB-b:3443",Chang et al. 2017,snp+lowcase
PCT where patients GP was registered: CHERWELL VALE PCT || id:UKB-b:3445,Nalls et al. 2019 (clinically diagnosed cases),lowcase
PCT where patients GP was registered: CHERWELL VALE PCT || id:UKB-b:3445,Chang et al. 2017,snp+lowcase
"Diagnoses - main ICD9: 7240 Spinal stenosis,other than cervical || id:UKB-b:3446",Nalls et al. 2019 (clinically diagnosed cases),lowcase
"Diagnoses - main ICD9: 7240 Spinal stenosis, other than cervical || id:UKB-b:3446",Chang et al. 2017,lowcase
Operative procedures - main OPCS: S13.8 Other specified punch biopsy of skin || id:UKB-b:3447,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - main OPCS: S13.8 Other specified punch biopsy of skin || id:UKB-b:3447,Chang et al. 2017,lowcase
Diagnoses - main ICD10: I06.0 Rheumatic aortic stenosis || id:UKB-b:3448,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD10: I06.0 Rheumatic aortic stenosis || id:UKB-b:3448,Chang et al. 2017,lowcase
"Diagnoses - main ICD9: 8160 Fracture of one or more phalanges of hand,closed || id:UKB-b:3449",Nalls et al. 2019 (clinically diagnosed cases),lowcase
"Diagnoses - main ICD9: 8160 Fracture of one or more phalanges of hand, closed || id:UKB-b:3449",Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: E38.8 Other specified other operations on larynx || id:UKB-b:345,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - secondary OPCS: E38.8 Other specified other operations on larynx || id:UKB-b:345,Chang et al. 2017,lowcase
"Diagnoses - secondary ICD10: I61.5 Intracerebral haemorrhage,intraventricular || id:UKB-b:3450",Nalls et al. 2019 (clinically diagnosed cases),lowcase
"Diagnoses - secondary ICD10: I61.5 Intracerebral haemorrhage, intraventricular || id:UKB-b:3450",Chang et al. 2017,lowcase
Operative procedures - main OPCS: Q11.9 Unspecified other evacuation of contents of uterus || id:UKB-b:3451,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - main OPCS: Q11.9 Unspecified other evacuation of contents of uterus || id:UKB-b:3451,Chang et al. 2017,lowcase
Operative procedures - main OPCS: V01.1 Cranioplasty using prosthesis || id:UKB-b:3453,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - main OPCS: V01.1 Cranioplasty using prosthesis || id:UKB-b:3453,Chang et al. 2017,lowcase
Treatment/medication code: levonorgestrel product || id:UKB-b:3455,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Treatment/medication code: levonorgestrel product || id:UKB-b:3455,Chang et al. 2017,lowcase
Operative procedures - main OPCS: C75.2 Revision of prosthetic replacement for lens || id:UKB-b:3457,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - main OPCS: C75.2 Revision of prosthetic replacement for lens || id:UKB-b:3457,Chang et al. 2017,lowcase
